Tweet,id,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements
id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat #tellus,6.67257E+15,2020-06-30 21:09 +0000,365,4,0.010958904,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non #ullamcorper,8.26546E+15,2020-06-30 17:14 +0000,184,2,0.010869565,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis #in,2.81117E+14,2020-06-30 16:59 +0000,2644,46,0.017397882,1,1,17,0,3,0,23,0,0,0,0,0,0,354,1
aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt #vulputate,7.75803E+15,2020-06-30 13:55 +0000,301,3,0.009966777,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue #nonummy,6.13184E+15,2020-06-30 12:13 +0000,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at #ut,7.1582E+15,2020-06-30 12:06 +0000,962,37,0.038461538,0,2,7,6,0,3,19,0,0,0,0,0,0,0,0
morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit #scelerisque,8.41266E+15,2020-06-30 11:29 +0000,198,4,0.02020202,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id #pellentesque,1.69774E+15,2020-06-30 11:20 +0000,1298,28,0.021571649,0,2,3,0,0,3,20,0,0,0,0,0,0,0,0
tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo #justo,5.74E+15,2020-06-30 11:04 +0000,160,3,0.01875,0,1,1,0,0,0,1,0,0,0,0,0,0,27,0
ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla #nisi,7.94192E+15,2020-06-30 11:01 +0000,1080,25,0.023148148,0,2,7,0,2,2,9,0,0,0,0,0,0,191,3
mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a #eget,3.50999E+15,2020-06-30 10:53 +0000,477,19,0.039832285,0,0,1,0,0,1,4,0,0,0,0,0,0,13,13
vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue #id,5.0024E+15,2020-06-30 10:53 +0000,295,5,0.016949153,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0
nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam #lacus,8.68415E+15,2020-06-30 10:51 +0000,77,2,0.025974026,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis #cubilia,1.42743E+14,2020-06-30 10:27 +0000,185,7,0.037837838,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0
mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis #et,8.25084E+15,2020-06-30 10:24 +0000,854,16,0.018735363,0,2,3,2,0,5,4,0,0,0,0,0,0,0,0
ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas #condimentum,5.01315E+15,2020-06-30 10:09 +0000,289,4,0.01384083,0,1,2,0,1,0,0,0,0,0,0,0,0,56,0
faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet #id,1.58505E+15,2020-06-30 09:56 +0000,1449,65,0.044858523,0,1,19,4,3,1,3,0,0,0,0,0,0,34,34
pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc #ut,3.42372E+15,2020-06-30 09:48 +0000,37,2,0.054054054,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id #pede,9.65478E+15,2020-06-30 09:42 +0000,63,1,0.015873016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien #pretium,3.10357E+14,2020-06-30 09:41 +0000,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie #id,2.97132E+14,2020-06-30 09:39 +0000,104,2,0.019230769,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum #in,6.65502E+15,2020-06-30 09:32 +0000,170,4,0.023529412,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum #at,1.68878E+15,2020-06-30 09:32 +0000,925,21,0.022702703,0,1,7,2,0,6,5,0,0,0,0,0,0,0,0
ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id #tortor,7.12323E+15,2020-06-30 09:05 +0000,253,28,0.110671937,0,1,3,0,0,3,2,0,0,0,0,0,0,19,19
morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat #sem,8.15335E+15,2020-06-30 09:02 +0000,52,3,0.057692308,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0
nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at #sit,4.00177E+15,2020-06-30 09:00 +0000,65,5,0.076923077,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum #molestie,3.32228E+14,2020-06-30 08:55 +0000,215,5,0.023255814,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque #nisl,5.53133E+15,2020-06-30 08:46 +0000,172,10,0.058139535,0,1,2,5,0,0,2,0,0,0,0,0,0,0,0
ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non #viverra,1.80821E+15,2020-06-30 08:42 +0000,792,37,0.046717172,1,0,16,2,0,7,8,0,0,0,0,0,0,196,3
augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae #turpis,2.11424E+15,2020-06-30 08:36 +0000,117,3,0.025641026,0,0,3,0,0,0,0,0,0,0,0,0,0,20,0
arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in #eu,3.31126E+15,2020-06-30 08:24 +0000,604,21,0.034768212,0,0,5,0,0,2,0,0,0,0,0,0,0,14,14
eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo #amet,7.63729E+14,2020-06-30 08:13 +0000,593,18,0.030354132,0,0,10,4,0,4,0,0,0,0,0,0,0,113,0
augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis #erat,2.76693E+15,2020-06-30 01:36 +0000,657,3,0.00456621,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem #turpis,1.95151E+15,2020-06-30 01:34 +0000,436,12,0.027522936,0,2,9,0,0,0,1,0,0,0,0,0,0,0,0
duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum #sapien,3.06325E+15,2020-06-29 23:36 +0000,2685,19,0.00707635,0,3,4,0,0,0,12,0,0,0,0,0,0,0,0
nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla #vel,9.84427E+15,2020-06-29 21:23 +0000,98,1,0.010204082,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra #potenti,6.81935E+14,2020-06-29 18:55 +0000,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit #rhoncus,1.52613E+15,2020-06-29 18:12 +0000,345,14,0.04057971,0,1,0,2,9,0,2,0,0,0,0,0,0,0,0
pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla #ac,5.87514E+15,2020-06-29 18:09 +0000,782,130,0.166240409,0,2,1,1,2,0,10,0,0,0,0,0,0,114,114
quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at #nisi,5.29047E+15,2020-06-29 17:54 +0000,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi #nullam,3.31226E+15,2020-06-29 17:54 +0000,250,1,0.004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam #elit,6.31724E+15,2020-06-29 17:52 +0000,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
